classe,arrondissement,item,nom_doc,url,adresse,code_postal,erreurs,nom_txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,41 rue de Rome : Arrêté du 17/11/2018 - Arrêté modificatif du 23/12/2018,Arrêté du 17/11/2018,http://logement-urbanisme.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/41-rue-de-rome-pi_2018_02952-final.pdf,41 rue de Rome,13001.0,False,41-rue-de-rome-pi_2018_02952-final.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,41 rue de Rome : Arrêté du 17/11/2018 - Arrêté modificatif du 23/12/2018,Arrêté modificatif du 23/12/2018,http://logement-urbanisme.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/41-rue-de-rome-13001_2018_03462_modificatif-du-41-rue-de-rome.pdf,41 rue de Rome,13001.0,False,41-rue-de-rome-13001_2018_03462_modificatif-du-41-rue-de-rome.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,1 rue de la Palud,1 rue de la Palud ,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/1-rue-de-le-palud-2018_02948-edited-2.pdf,1 rue de la Palud,13001.0,False,1-rue-de-le-palud-2018_02948-edited-2.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,4 rue Pytheas - Arrêté modificatif du 11/02/2020,4 rue Pytheas ,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/4-rue-pytheas-arrete_pi_2018_02930-final.pdf,4 rue Pytheas,13001.0,False,4-rue-pytheas-arrete_pi_2018_02930-final.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,4 rue Pytheas - Arrêté modificatif du 11/02/2020,Arrêté modificatif du 11/02/2020,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/pgi_modif-4-rue-pytheas-13001_2020_00380.pdf,4 rue Pytheas,13001.0,True,pgi_modif-4-rue-pytheas-13001_2020_00380.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,15 rue de la Fare : Arrêté de péril du 17/11/2018 - Main Levée du 21/01/2019,Arrêté de péril du 17/11/2018,http://logement-urbanisme.marseille.fr/sites/default/files/contenu/logement/Arretes-peril/15-rue-de-la-fare-pi_2018_02950-edited-2.pdf,15 rue de la Fare,13001.0,False,15-rue-de-la-fare-pi_2018_02950-edited-2.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,15 rue de la Fare : Arrêté de péril du 17/11/2018 - Main Levée du 21/01/2019,Main Levée du 21/01/2019,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/15-rue-la-fare-13001_ML_2019_00228.pdf,15 rue de la Fare,13001.0,False,15-rue-la-fare-13001_ML_2019_00228.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,17 rue Moustier : Arrêté de péril du 17/11/2018 - Main Levée partielle du 13/12/2018 - Main levée du 20/12/2018,Arrêté de péril du 17/11/2018,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/17-rue-moustier-pi_2018_02954-edited-2.pdf,17 rue Moustier,13001.0,False,17-rue-moustier-pi_2018_02954-edited-2.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,17 rue Moustier : Arrêté de péril du 17/11/2018 - Main Levée partielle du 13/12/2018 - Main levée du 20/12/2018,Main Levée partielle du 13/12/2018 ,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ML_partielle-17-rue-Moustier-13001_2018_03312.pdf,17 rue Moustier,13001.0,False,ML_partielle-17-rue-Moustier-13001_2018_03312.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,17 rue Moustier : Arrêté de péril du 17/11/2018 - Main Levée partielle du 13/12/2018 - Main levée du 20/12/2018,Main levée du 20/12/2018,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml-17-rue-moustier-13001-2018-03449.pdf,17 rue Moustier,13001.0,False,ml-17-rue-moustier-13001-2018-03449.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,24 cours Lieutaud : Arrêté de péril du 17/11/2018 - Arrêté de péril modificatif du 05/03/2019 - Main Levée du 15/10/2019,Arrêté de péril du 17/11/2018,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/24-cours-lieutaud-pi_2018_02951-edited-2.pdf,24 cours Lieutaud,13001.0,False,24-cours-lieutaud-pi_2018_02951-edited-2.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,24 cours Lieutaud : Arrêté de péril du 17/11/2018 - Arrêté de péril modificatif du 05/03/2019 - Main Levée du 15/10/2019,Arrêté de péril modificatif du 05/03/2019,http://marseille.fr/sites/default/files/contenu/logement/Arretes-peril/24-COURS-LIEUTAUD-13001_PGI_MODIFICATIF_2019%2000776.pdf,24 cours Lieutaud,13001.0,False,24-COURS-LIEUTAUD-13001_PGI_MODIFICATIF_2019%2000776.txt
"Arrêtés de péril imminent, de Main Levée et de Réintégration partielle de la ville de Marseille",1er arrondissement,24 cours Lieutaud : Arrêté de péril du 17/11/2018 - Arrêté de péril modificatif du 05/03/2019 - Main Levée du 15/10/2019,Main Levée du 15/10/2019,http://marseille.fr/sites/default/files/contenu/logement/Mains_Levees/ml_24-cours-lieutaud-13001-_2019_03548_vdm.pdf,24 cours Lieutaud,13001.0,False,ml_24-cours-lieutaud-13001-_2019_03548_vdm.txt
